grid_id,latitude,longitude
2_33,53.330896,-6.383888
2_34,53.331794,-6.383833
2_35,53.332692,-6.383778
2_36,53.33359,-6.383723
2_37,53.334488,-6.383668
2_38,53.335386,-6.383613
2_39,53.336284,-6.383558
2_40,53.337182,-6.383503
2_41,53.33808,-6.383448
2_42,53.338978,-6.383393
2_43,53.339876,-6.383338
2_44,53.340774,-6.383283
2_45,53.341672,-6.383228
2_46,53.34257,-6.383173
2_47,53.343468,-6.383118
2_48,53.344366,-6.383063
2_49,53.345264,-6.383008
2_50,53.346162,-6.382953
2_51,53.34706,-6.382898
2_52,53.347958,-6.382843
2_53,53.348855,-6.382788
2_54,53.349753,-6.382733
2_55,53.350651,-6.382678
2_56,53.351549,-6.382623
2_57,53.352447,-6.382568
2_58,53.353345,-6.382513
2_59,53.354243,-6.382457
2_60,53.355141,-6.382402
2_61,53.356039,-6.382347
2_62,53.356937,-6.382292
2_63,53.357835,-6.382237
2_64,53.358733,-6.382182
2_65,53.359631,-6.382127
2_66,53.360529,-6.382072
2_67,53.361427,-6.382017
2_68,53.362325,-6.381962
2_69,53.363223,-6.381907
2_70,53.364121,-6.381852
2_71,53.365019,-6.381797
2_72,53.365917,-6.381742
2_73,53.366814,-6.381686
2_74,53.367712,-6.381631
2_75,53.36861,-6.381576
2_76,53.369508,-6.381521
2_77,53.370406,-6.381466
2_78,53.371304,-6.381411
2_79,53.372202,-6.381356
2_80,53.3731,-6.381301
2_81,53.373998,-6.381246
2_82,53.374896,-6.38119
2_83,53.375794,-6.381135
2_84,53.376692,-6.38108
2_85,53.37759,-6.381025
2_86,53.378488,-6.38097
2_87,53.379386,-6.380915
2_88,53.380284,-6.38086
2_89,53.381182,-6.380805
2_90,53.38208,-6.380749
2_91,53.382978,-6.380694
2_92,53.383875,-6.380639
2_93,53.384773,-6.380584
2_94,53.385671,-6.380529
2_95,53.386569,-6.380474
2_96,53.387467,-6.380419
2_97,53.388365,-6.380363
2_98,53.389263,-6.380308
2_99,53.390161,-6.380253
2_100,53.391059,-6.380198
2_101,53.391957,-6.380143
2_102,53.392855,-6.380088
2_103,53.393753,-6.380032
2_104,53.394651,-6.379977
2_105,53.395549,-6.379922
2_106,53.396447,-6.379867
2_107,53.397345,-6.379812
2_108,53.398243,-6.379756
2_109,53.399141,-6.379701
2_110,53.400038,-6.379646
2_111,53.400936,-6.379591
2_112,53.401834,-6.379536
2_113,53.402732,-6.37948
2_114,53.40363,-6.379425
2_115,53.404528,-6.37937
2_116,53.405426,-6.379315
2_117,53.406324,-6.379259
2_118,53.407222,-6.379204
2_119,53.40812,-6.379149
2_120,53.409018,-6.379094
2_121,53.409916,-6.379039
2_122,53.410814,-6.378983
2_123,53.411712,-6.378928
2_124,53.41261,-6.378873
2_125,53.413508,-6.378818
2_126,53.414405,-6.378762
3_0,53.301231,-6.384201
3_1,53.302129,-6.384146
3_2,53.303027,-6.384092
3_3,53.303925,-6.384037
3_4,53.304823,-6.383982
3_5,53.305721,-6.383927
3_6,53.306619,-6.383872
3_7,53.307517,-6.383817
3_8,53.308415,-6.383762
3_9,53.309313,-6.383707
3_10,53.310211,-6.383652
3_11,53.311108,-6.383597
3_12,53.312006,-6.383542
3_13,53.312904,-6.383487
3_14,53.313802,-6.383432
3_15,53.3147,-6.383377
3_16,53.315598,-6.383322
3_17,53.316496,-6.383267
3_18,53.317394,-6.383213
3_19,53.318292,-6.383158
3_20,53.31919,-6.383103
3_21,53.320088,-6.383048
3_22,53.320986,-6.382993
3_23,53.321884,-6.382938
3_24,53.322782,-6.382883
3_25,53.32368,-6.382828
3_26,53.324578,-6.382773
3_27,53.325476,-6.382718
3_28,53.326374,-6.382663
3_29,53.327272,-6.382608
3_30,53.32817,-6.382553
3_31,53.329068,-6.382498
3_32,53.329966,-6.382443
3_33,53.330864,-6.382388
3_34,53.331761,-6.382333
3_35,53.332659,-6.382278
3_36,53.333557,-6.382223
3_37,53.334455,-6.382168
3_38,53.335353,-6.382113
3_39,53.336251,-6.382058
3_40,53.337149,-6.382003
3_41,53.338047,-6.381948
3_42,53.338945,-6.381893
3_43,53.339843,-6.381838
3_44,53.340741,-6.381783
3_45,53.341639,-6.381727
3_46,53.342537,-6.381672
3_47,53.343435,-6.381617
3_48,53.344333,-6.381562
3_49,53.345231,-6.381507
3_50,53.346129,-6.381452
3_51,53.347027,-6.381397
3_52,53.347925,-6.381342
3_53,53.348823,-6.381287
3_54,53.349721,-6.381232
3_55,53.350618,-6.381177
3_56,53.351516,-6.381122
3_57,53.352414,-6.381067
3_58,53.353312,-6.381012
3_59,53.35421,-6.380957
3_60,53.355108,-6.380902
3_61,53.356006,-6.380846
3_62,53.356904,-6.380791
3_63,53.357802,-6.380736
3_64,53.3587,-6.380681
3_65,53.359598,-6.380626
3_66,53.360496,-6.380571
3_67,53.361394,-6.380516
3_68,53.362292,-6.380461
3_69,53.36319,-6.380406
3_70,53.364088,-6.380351
3_71,53.364986,-6.380295
3_72,53.365884,-6.38024
3_73,53.366782,-6.380185
3_74,53.367679,-6.38013
3_75,53.368577,-6.380075
3_76,53.369475,-6.38002
3_77,53.370373,-6.379965
3_78,53.371271,-6.37991
3_79,53.372169,-6.379854
3_80,53.373067,-6.379799
3_81,53.373965,-6.379744
3_82,53.374863,-6.379689
3_83,53.375761,-6.379634
3_84,53.376659,-6.379579
3_85,53.377557,-6.379523
3_86,53.378455,-6.379468
3_87,53.379353,-6.379413
3_88,53.380251,-6.379358
3_89,53.381149,-6.379303
3_90,53.382047,-6.379248
3_91,53.382945,-6.379192
3_92,53.383842,-6.379137
3_93,53.38474,-6.379082
3_94,53.385638,-6.379027
3_95,53.386536,-6.378972
3_96,53.387434,-6.378917
3_97,53.388332,-6.378861
3_98,53.38923,-6.378806
3_99,53.390128,-6.378751
3_100,53.391026,-6.378696
3_101,53.391924,-6.378641
3_102,53.392822,-6.378585
